№,Алюминий,Латунь,Сталь,Дерево,Плексиглас,Свинец
,"t, мс","t, мс","t, мс","t, мс","t, мс","t, мс"
1,152.554,152.734,152.357,153.378,152.670,152.698
2,151.398,151.856,152.308,154.037,153.585,153.158
3,152.135,152.286,152.415,151.967,152.848,152.791
4,153.418,152.203,153.118,153.598,152.783,153.083
5,153.134,152.935,152.660,153.297,152.769,152.487
6,152.736,152.537,152.415,152.928,153.662,152.786
7,152.181,152.621,152.837,153.934,153.622,152.655
8,151.571,152.414,151.757,154.141,153.654,153.263
9,152.229,152.112,151.159,153.019,153.735,152.618
10,152.021,152.003,151.840,153.009,153.157,153.371
11,152.130,152.045,152.201,153.291,153.299,152.808
12,151.792,152.147,152.208,153.025,153.196,152.881
13,151.755,152.413,152.235,152.887,154.018,153.246
14,151.703,152.751,152.136,153.080,153.386,153.530
15,152.583,152.635,152.896,153.322,153.187,152.341
16,151.981,151.729,152.109,153.190,154.575,152.911
17,152.314,152.681,152.357,153.256,153.285,152.933
18,153.078,151.763,152.132,153.413,153.551,152.592
19,152.158,152.794,152.449,153.283,154.011,152.957
20,152.204,152.103,152.333,153.825,153.266,152.803
21,151.750,152.230,153.413,153.058,153.783,152.532
22,152.409,151.832,152.516,153.595,154.890,152.519
23,152.384,152.414,151.884,153.208,153.550,153.235
24,151.967,151.668,152.160,152.928,152.873,152.722
25,151.864,151.690,152.163,153.055,153.269,152.812
26,152.822,152.971,152.185,153.198,154.127,153.277
27,152.913,151.834,151.981,153.648,152.786,153.654
28,151.897,151.595,152.305,152.776,152.952,152.637
29,152.299,151.907,152.400,153.329,153.235,151.962
30,152.915,152.562,152.731,152.865,153.681,152.983
