№ п/п, $U_{эб}$  (В),$U_{кб}$м (В), $I_k$=$U_{кб}/R_3 $ (мА),  $\ln(I_k)$
1,0.45,0.0039,0.325,-1.1239300966523995
2,0.46,0.0068,0.5666666666666667,-0.5679840376059393
3,0.47,0.009,0.7499999999999999,-0.28768207245178107
4,0.48,0.0145,1.2083333333333335,0.18924199963852853
5,0.49,0.0193,1.6083333333333334,0.47519844612283957
6,0.5,0.0344,2.8666666666666667,1.0531499145913523
7,0.51,0.0425,3.541666666666667,1.264597426142371
8,0.52,0.0491,4.091666666666666,1.4089523850124743
9,0.53,0.0666,5.55,1.713797927758343
10,0.54,0.0989,8.241666666666665,2.109202588840666
11,0.55,0.1425,11.874999999999998,2.4744353499207046
12,0.56,0.2062,17.18333333333333,2.843939921794859
13,0.57,0.3205,26.708333333333336,3.2849756265727246
14,0.58,0.4309,35.90833333333333,3.580969394833792
15,0.59,0.538,44.833333333333336,3.802951910373784
16,0.6,0.5772,48.1,3.8732821771117156
